N,x_max,weight_core,weight_osc,form,alpha,normalization,error
64,15.0,0.4915254237288136,0.01694915254237288,log,3.0,scale_first_to_zero1,2.4388177857847504
128,8.0,1.0,0.0,quadratic,0.5,none,26.775285510718064
128,8.0,1.0,0.0,quadratic,0.5,by_max_eig,30.66608714441756
128,8.0,1.0,0.0,quadratic,0.5,by_trace,30.669881169400263
128,8.0,1.0,0.0,quadratic,0.5,scale_first_to_zero1,254.70728235609306
128,8.0,1.0,0.0,quadratic,1.3333333333333335,none,26.640896002600304
128,8.0,1.0,0.0,quadratic,1.3333333333333335,by_max_eig,30.665954595032694
128,8.0,1.0,0.0,quadratic,1.3333333333333335,by_trace,30.669879110658634
128,8.0,1.0,0.0,quadratic,1.3333333333333335,scale_first_to_zero1,194.09004367739124
128,8.0,1.0,0.0,quadratic,2.166666666666667,none,26.508953257027365
128,8.0,1.0,0.0,quadratic,2.166666666666667,by_max_eig,30.665824710246184
128,8.0,1.0,0.0,quadratic,2.166666666666667,by_trace,30.669877090954834
128,8.0,1.0,0.0,quadratic,2.166666666666667,scale_first_to_zero1,162.11295964374452
128,8.0,1.0,0.0,quadratic,3.0,none,26.379496370994687
128,8.0,1.0,0.0,quadratic,3.0,by_max_eig,30.665697590983687
128,8.0,1.0,0.0,quadratic,3.0,by_trace,30.66987511085752
128,8.0,1.0,0.0,quadratic,3.0,scale_first_to_zero1,141.93094580523876
128,8.0,1.0,0.0,exponential,0.5,none,26.803272261030095
128,8.0,1.0,0.0,exponential,0.5,by_max_eig,30.666114749676304
128,8.0,1.0,0.0,exponential,0.5,by_trace,30.669881598749797
128,8.0,1.0,0.0,exponential,0.5,scale_first_to_zero1,287.00604031588193
128,8.0,1.0,0.0,exponential,1.3333333333333335,none,26.71489423677967
128,8.0,1.0,0.0,exponential,1.3333333333333335,by_max_eig,30.66602752145976
128,8.0,1.0,0.0,exponential,1.3333333333333335,by_trace,30.669880245264512
128,8.0,1.0,0.0,exponential,1.3333333333333335,scale_first_to_zero1,246.35956773702475
128,8.0,1.0,0.0,exponential,2.166666666666667,none,26.62814770000422
128,8.0,1.0,0.0,exponential,2.166666666666667,by_max_eig,30.665942033518107
128,8.0,1.0,0.0,exponential,2.166666666666667,by_trace,30.669878917556268
128,8.0,1.0,0.0,exponential,2.166666666666667,scale_first_to_zero1,222.63503700688534
128,8.0,1.0,0.0,exponential,3.0,none,26.543044085612152
128,8.0,1.0,0.0,exponential,3.0,by_max_eig,30.665858342896108
128,8.0,1.0,0.0,exponential,3.0,by_trace,30.669877615785566
128,8.0,1.0,0.0,exponential,3.0,scale_first_to_zero1,207.0566262244042
128,8.0,1.0,0.0,inverse,0.5,none,26.726080710566997
128,8.0,1.0,0.0,inverse,0.5,by_max_eig,30.66603869614151
128,8.0,1.0,0.0,inverse,0.5,by_trace,30.669880414412916
128,8.0,1.0,0.0,inverse,0.5,scale_first_to_zero1,185.58441239342932
128,8.0,1.0,0.0,inverse,1.3333333333333335,none,26.50872836223336
128,8.0,1.0,0.0,inverse,1.3333333333333335,by_max_eig,30.665824467478462
128,8.0,1.0,0.0,inverse,1.3333333333333335,by_trace,30.669877084030475
128,8.0,1.0,0.0,inverse,1.3333333333333335,scale_first_to_zero1,107.32642856550882
128,8.0,1.0,0.0,inverse,2.166666666666667,none,26.29259976077775
128,8.0,1.0,0.0,inverse,2.166666666666667,by_max_eig,30.66561165578672
128,8.0,1.0,0.0,inverse,2.166666666666667,by_trace,30.66987377557417
128,8.0,1.0,0.0,inverse,2.166666666666667,scale_first_to_zero1,75.22721219932778
128,8.0,1.0,0.0,inverse,3.0,none,26.077700646527965
128,8.0,1.0,0.0,inverse,3.0,by_max_eig,30.665400289007074
128,8.0,1.0,0.0,inverse,3.0,by_trace,30.669870489102706
128,8.0,1.0,0.0,inverse,3.0,scale_first_to_zero1,57.639334955413986
128,8.0,1.0,0.0,log,0.5,none,26.647854135556308
128,8.0,1.0,0.0,log,0.5,by_max_eig,30.665961616712202
128,8.0,1.0,0.0,log,0.5,by_trace,30.669879214572433
128,8.0,1.0,0.0,log,0.5,scale_first_to_zero1,133.99466898909085
128,8.0,1.0,0.0,log,1.3333333333333335,none,26.299571713878343
128,8.0,1.0,0.0,log,1.3333333333333335,by_max_eig,30.665618448588212
128,8.0,1.0,0.0,log,1.3333333333333335,by_trace,30.66987387950642
128,8.0,1.0,0.0,log,1.3333333333333335,scale_first_to_zero1,62.20857406248939
128,8.0,1.0,0.0,log,2.166666666666667,none,25.951818536056223
128,8.0,1.0,0.0,log,2.166666666666667,by_max_eig,30.665276085352676
128,8.0,1.0,0.0,log,2.166666666666667,by_trace,30.66986856011597
128,8.0,1.0,0.0,log,2.166666666666667,scale_first_to_zero1,37.45136495128489
128,8.0,1.0,0.0,log,3.0,none,25.604596069595395
128,8.0,1.0,0.0,log,3.0,by_max_eig,30.664934543860753
128,8.0,1.0,0.0,log,3.0,by_trace,30.669863256390652
128,8.0,1.0,0.0,log,3.0,scale_first_to_zero1,25.153308004773237
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,none,28.405606473495034
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,by_max_eig,30.665386694655723
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,by_trace,30.669870265518963
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,0.5,scale_first_to_zero1,71.23784722130962
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,none,28.33731935264305
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,by_max_eig,30.665249460628253
128,8.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,by_trace,30.66986814300709
